iter,time,reward,steps,convergence
1,0.014934717,-199.0,200.0,79.8
2,0.022823284,-199.0,200.0,48.9953569235
3,0.028460335,-199.0,200.0,36.6022109545
4,0.033876034,-199.0,200.0,28.3774955686
5,0.038640493,-199.0,200.0,22.8635727589
6,0.044260067,-199.0,200.0,20.2187172373
7,0.04898375,-195.76,198.78,18.2910421108
8,0.05496917,-168.02,187.2,17.0063199196
9,0.057946069,-156.4,183.66,16.1728662643
10,0.061795001,-106.44,157.94,14.1890494204
11,0.065080566,50.18,51.82,13.7235047677
12,0.068524951,61.74,40.26,12.9316257879
13,0.071678093,62.2,39.8,11.6110303172
14,0.075061715,61.76,40.24,10.9999065841
15,0.078287788,61.46,40.54,10.7753728098
16,0.086832072,62.28,39.72,9.41192420239
17,0.094093093,61.68,40.32,8.86624428018
18,0.101341745,61.7,40.3,8.00872550803
19,0.105514168,63.72,38.28,6.55485006069
20,0.11421254,62.36,39.64,4.98478519746
21,0.122635093,63.46,38.54,3.57769056582
22,0.126326389,63.82,38.18,2.44928909942
23,0.130464364,64.22,37.78,1.61153834971
24,0.134497439,64.06,37.94,1.02472905681
25,0.14049293,64.08,37.92,0.632341261796
26,0.144438374,62.52,39.48,0.454635435919
27,0.148398337,63.5,38.5,0.385152775032
28,0.152179339,62.96,39.04,0.312829939132
29,0.156031611,62.64,39.36,0.246645439603
30,0.159706335,64.04,37.96,0.180250901885
31,0.163942506,63.76,38.24,0.122500301228
32,0.16787206,64.06,37.94,0.0786616285518
33,0.173878438,64.68,37.32,0.0502146420837
34,0.177609789,64.64,37.36,0.0312942111165
35,0.181093995,62.1,39.9,0.0188819389968
36,0.184664983,65.12,36.88,0.0108677515543
37,0.190716478,63.36,38.64,0.00606290467606
38,0.194430567,62.6,39.4,0.00330301836392
39,0.19761875,64.7,37.3,0.00176486762466
40,0.201934777,63.94,38.06,0.000927582966817
41,0.205414455,62.2,39.8,0.000480589162571
42,0.209292835,63.66,38.34,0.000245876288901
43,0.212435903,63.26,38.74,0.000124390234696
44,0.215650191,63.3,38.7,6.23002797084e-05
45,0.218793527,63.64,38.36,3.09214419616e-05
46,0.221633192,63.9,38.1,1.52218708678e-05
47,0.22465508,63.78,38.22,7.43770949896e-06
48,0.227912462,63.26,38.74,3.60958944157e-06
49,0.231257022,63.7,38.3,1.74090487093e-06
50,0.234636719,63.44,38.56,8.34860507837e-07
